dict_size,topk,topk_aux,aux_penalty,num_workers,epoch,epoch,_runtime,val_num_dead_features,val_loss,val_l1_loss,val_l2_loss,val_l0_norm,val_l1_norm,val_aux_loss,train_num_dead_features,train_loss,train_l1_loss,train_l2_loss,train_l0_norm,train_l1_norm,train_aux_loss
256,4,16,1.0,64,0,-1,103.680182856,59.16640090942383,445.738037109375,0,227.32705688476562,4.000007629394531,92.45673370361328,218.4110870361328,,,,,,,
256,4,16,1.0,64,1,0,529.954161622,3.244966983795166,116.6107406616211,0,59.67275619506836,4.000007629394531,167.06295776367188,56.9379768371582,52.14635467529297,195.93270874023438,0.0,109.46453094482422,3.999985933303833,140.5798797607422,86.4683609008789
256,4,16,1.0,64,2,1,917.558239076,0.41240301728248596,61.85207748413086,0,43.21464920043945,4.000007629394531,178.30235290527344,18.637420654296875,0.11764847487211227,55.26510238647461,0.0,49.29176330566406,3.999985933303833,173.04791259765625,5.973357200622559
256,4,16,1.0,64,3,2,1304.743046888,0.8736913204193115,67.98779296875,0,39.72163391113281,4.000007629394531,172.8053436279297,28.26616859436035,0.29830464720726013,57.413673400878906,0.0,41.11906051635742,3.999985933303833,176.66650390625,16.29461097717285
256,4,16,1.0,64,4,3,1685.175478389,0.14936791360378265,43.96833801269531,0,37.034114837646484,4.000007629394531,154.93673706054688,6.934218883514404,0.5415717363357544,59.14973831176758,0.0,38.60015869140625,3.999985933303833,165.06082153320312,20.549602508544922
256,4,16,1.0,64,5,4,2062.21375241,1.1467640399932861,59.32363510131836,0,33.349769592285156,4.000007629394531,156.70469665527344,25.973852157592773,0.2887463867664337,44.84412384033203,0.0,34.789878845214844,3.999985933303833,154.9134521484375,10.054251670837402
256,4,16,1.0,64,6,5,2440.154575616,0.9234263896942139,56.97188949584961,0,32.33843231201172,4.000007629394531,153.635498046875,24.633445739746094,0.2078292816877365,43.93338394165039,0.0,32.717979431152344,3.999985933303833,155.32962036132812,11.215447425842285
256,4,16,1.0,64,7,6,3485.117855025,0.35445716977119446,43.737125396728516,0,31.63701820373535,4.000007629394531,146.4736785888672,12.100114822387695,0.27661028504371643,43.63213348388672,0.0,31.982633590698242,3.999985933303833,150.59873962402344,11.649484634399414
256,4,16,1.0,64,8,7,3485.14024337,1.2334120273590088,54.46881103515625,0,29.635408401489258,4.000007629394531,146.51426696777344,24.833398818969727,0.11371415108442307,36.570926666259766,0.0,30.546648025512695,3.999985933303833,145.0233917236328,6.024299621582031
256,4,16,1.0,64,9,8,3566.559716329,0.3697574734687805,40.422569274902344,0,29.102113723754883,4.000007629394531,147.3707275390625,11.320451736450195,0.30096444487571716,40.78453063964844,0.0,29.260517120361328,3.999985933303833,147.1527557373047,11.523992538452148
256,4,16,1.0,64,10,9,3936.880713179,0.5115475654602051,43.76268768310547,0,28.95124053955078,4.000007629394531,147.37860107421875,14.811456680297852,0.20932582020759583,38.97172546386719,0.0,28.968639373779297,3.999985933303833,147.26148986816406,10.003089904785156
256,4,16,1.0,64,11,10,4305.183726631,0.63015216588974,45.59822082519531,0,28.899782180786133,4.000007629394531,147.67837524414062,16.698434829711914,0.5633866786956787,45.433349609375,0.0,28.887784957885742,3.999985933303833,147.26992797851562,16.545522689819336
256,4,16,1.0,64,12,11,4672.978348513,0.6996727585792542,47.28434753417969,0,28.87714195251465,4.000007629394531,147.61007690429688,18.40720558166504,0.3021955192089081,41.2554931640625,0.0,28.838912963867188,3.999985933303833,147.3922576904297,12.416563034057617
256,4,16,1.0,64,13,12,5044.229922473,0.9734147787094116,51.50470733642578,0,28.846351623535156,4.000007629394531,147.61434936523438,22.658355712890625,0.3814759850502014,42.0572624206543,0.0,28.807092666625977,3.999985933303833,147.4352264404297,13.250168800354004
256,4,16,1.0,64,14,13,5418.499021976,0.9433567523956299,48.90003204345703,0,28.813175201416016,4.000007629394531,147.4606170654297,20.086841583251953,0.5622238516807556,46.02482986450195,0.0,28.78502655029297,3.999985933303833,147.44691467285156,17.23980712890625
256,4,16,1.0,64,15,14,5796.315339358,0.7534951567649841,48.397029876708984,0,28.796039581298828,4.000007629394531,147.55838012695312,19.601015090942383,0.2338007092475891,39.06578063964844,0.0,28.754240036010742,3.999985933303833,147.51698303222656,10.311516761779785
256,4,16,1.0,64,16,15,7077.24179005,3.754580497741699,56.664798736572266,0,28.816591262817383,4.000007629394531,147.1854705810547,27.84821319580078,1.2566150426864624,52.6966667175293,0.0,28.76020050048828,3.999985933303833,147.28233337402344,23.93649673461914
256,4,16,1.0,64,17,16,7077.25053643,4.787642478942871,56.33399963378906,0,28.855815887451172,4.000007629394531,146.70962524414062,27.478185653686523,3.3425824642181396,56.37594985961914,0.0,28.785018920898438,3.999985933303833,146.9490509033203,27.590959548950195
256,4,16,1.0,64,18,17,7077.257229133,4.587144374847412,56.31272888183594,0,28.831811904907227,4.000007629394531,146.93460083007812,27.48091697692871,4.054358005523682,56.350746154785156,0.0,28.797714233398438,3.999985933303833,146.85829162597656,27.553041458129883
256,4,16,1.0,64,19,18,7241.790086213,3.2916646003723145,56.64031982421875,0,28.805545806884766,4.000007629394531,147.0188751220703,27.834779739379883,2.501547336578369,56.318817138671875,0.0,28.765771865844727,3.999985933303833,147.0740203857422,27.553043365478516
256,4,16,1.0,64,20,19,7331.395573938,0.3924909234046936,40.64480209350586,0,29.102113723754883,4.000007629394531,147.3707275390625,11.542680740356445,,,,,,,
256,4,16,0.1,64,0,-1,61.483198562,59.16640090942383,249.16822814941406,0,227.32705688476562,4.000007629394531,92.45673370361328,21.84110450744629,,,,,,,
