dict_size,topk,topk_aux,aux_penalty,num_workers,epoch,epoch,_runtime,val_num_dead_features,val_loss,val_l1_loss,val_l2_loss,val_l0_norm,val_l1_norm,val_aux_loss,train_num_dead_features,train_loss,train_l1_loss,train_l2_loss,train_l0_norm,train_l1_norm,train_aux_loss
256,16,16,1.0,64,0,-1,74.734658158,10.87470531463623,374.0207214355469,0,189.85345458984375,16.000030517578125,291.365234375,184.16725158691406,,,,,,,
256,16,16,1.0,64,1,0,399.026496757,0.21073192358016968,22.752153396606445,0,17.065446853637695,16.000030517578125,294.3699951171875,5.686712265014648,1.09128999710083,59.17396926879883,0.0,37.110225677490234,15.999943733215332,283.7164611816406,22.06378746032715
256,16,16,1.0,64,2,1,687.374384752,0.5788074731826782,12.731694221496582,0,8.240937232971191,16.000030517578125,295.8656311035156,4.490757465362549,0.26361486315727234,15.933736801147461,0.0,12.022991180419922,15.999943733215332,295.7435607910156,3.9107537269592285
256,16,16,1.0,64,3,2,973.410846049,1.8898789882659912,10.826053619384766,0,5.4330854415893555,16.000030517578125,300.5234680175781,5.3929643630981445,0.5502272844314575,10.104864120483398,0.0,6.624356746673584,15.999943733215332,296.7396545410156,3.4805054664611816
256,16,16,1.0,64,4,3,1265.471384869,1.8588436841964722,9.348508834838867,0,4.783456802368164,16.000030517578125,278.4454650878906,4.56505012512207,0.9865162968635559,9.025315284729004,0.0,5.033653259277344,15.999943733215332,290.7786560058594,3.991657257080078
256,16,16,1.0,64,5,4,1559.164125085,2.5684094429016113,8.74966812133789,0,4.410648822784424,16.000030517578125,268.627685546875,4.339017391204834,1.5470577478408813,8.790393829345703,0.0,4.528104305267334,15.999943733215332,271.7203063964844,4.262287139892578
256,16,16,1.0,64,6,5,1845.151632084,2.0330071449279785,8.449675559997559,0,4.27739953994751,16.000030517578125,257.0201110839844,4.172274589538574,2.0186173915863037,8.527379035949707,0.0,4.339407444000244,15.999943733215332,263.2771301269531,4.1879754066467285
256,16,16,1.0,64,7,6,2137.678677963,4.308520793914795,8.281338691711426,0,4.157181739807129,16.000030517578125,256.2752685546875,4.124153137207031,1.5499615669250488,7.969916343688965,0.0,4.1890974044799805,15.999943733215332,256.1835632324219,3.7808187007904053
256,16,16,1.0,64,8,7,3171.894125014,5.199306011199951,8.178902626037598,0,4.103206634521484,16.000030517578125,253.96229553222656,4.075697898864746,1.5253549814224243,7.647562503814697,0.0,4.112366199493408,15.999943733215332,255.70733642578125,3.5351932048797607
256,16,16,1.0,64,9,8,3171.902882183,5.036190032958984,8.073678016662598,0,4.050685882568359,16.000030517578125,250.244873046875,4.02299165725708,1.9895128011703491,7.835942268371582,0.0,4.064943313598633,15.999943733215332,252.27989196777344,3.7709972858428955
256,16,16,1.0,64,10,9,3171.911118547,3.7422657012939453,7.983957290649414,0,3.999032735824585,16.000030517578125,247.55076599121094,3.984926462173462,2.8182616233825684,7.928507328033447,0.0,4.017831325531006,15.999943733215332,248.71751403808594,3.9106740951538086
